generation,tick,preys_alive,predators_alive,food_alive,max_preys_this_gen,max_predators_this_gen
9,400,68,61,290,109,63
9,450,64,52,287,109,63
9,500,59,54,290,109,63
9,550,62,54,288,109,63
9,600,62,47,290,109,63
9,650,66,43,287,109,63
9,700,61,40,289,109,63
9,750,63,35,289,109,63
9,800,68,32,285,109,63
9,850,71,32,289,109,63
9,900,74,30,289,109,63
9,950,75,30,290,109,63
9,1000,76,27,290,109,63
10,0,100,50,300,109,63
10,50,91,53,278,100,53
10,100,94,57,283,100,57
10,150,96,61,262,100,61
10,200,100,63,260,105,63
10,250,105,49,261,107,64
10,300,110,48,256,110,64
10,350,99,49,255,111,64
10,400,96,47,263,111,64
10,450,91,42,266,111,64
10,500,87,46,273,111,64
10,550,91,45,270,111,64
10,600,83,44,277,111,64
10,650,84,40,282,111,64
10,700,87,39,278,111,64
10,750,79,37,285,111,64
10,800,79,38,287,111,64
10,850,72,43,290,111,64
10,900,72,41,290,111,64
10,950,72,40,286,111,64
10,1000,80,35,288,111,64
11,0,100,50,300,111,64
11,50,92,51,276,100,51
11,100,98,55,268,104,55
11,150,86,64,272,104,64
11,200,75,71,281,104,71
11,250,73,58,283,104,71
11,300,64,60,290,104,71
11,350,64,58,290,104,71
11,400,59,58,289,104,71
11,450,62,44,290,104,71
11,500,65,42,290,104,71
11,550,65,40,290,104,71
11,600,66,29,290,104,71
11,650,64,24,290,104,71
11,700,68,23,288,104,71
11,750,74,24,290,104,71
11,800,73,22,290,104,71
11,850,76,20,290,104,71
11,900,75,17,290,104,71
11,950,76,18,290,104,71
11,1000,74,17,290,104,71
12,0,100,50,300,104,71
12,50,97,52,276,100,52
12,100,112,54,271,113,54
12,150,107,60,263,113,60
12,200,108,61,261,113,63
12,250,99,48,263,113,63
12,300,91,56,273,113,63
12,350,88,58,272,113,63
12,400,78,52,283,113,63
12,450,69,47,289,113,63
12,500,66,47,287,113,63
12,550,64,49,288,113,63
12,600,56,49,290,113,63
12,650,59,44,290,113,63
12,700,60,41,290,113,63
12,750,62,36,290,113,63
12,800,73,31,290,113,63
12,850,78,26,290,113,63
12,900,80,25,289,113,63
12,950,77,23,286,113,63
12,1000,82,17,290,113,63
13,0,100,50,300,113,63
13,50,105,50,283,105,50
13,100,103,57,276,113,57
13,150,100,61,278,113,61
13,200,95,58,277,113,63
13,250,90,48,280,113,63
13,300,83,50,289,113,63
13,350,83,52,285,113,63
13,400,83,49,279,113,63
13,450,81,48,286,113,63
13,500,81,49,290,113,63
13,550,82,45,290,113,63
13,600,81,38,290,113,63
13,650,76,34,290,113,63
13,700,70,33,290,113,63
13,750,70,32,289,113,63
13,800,69,32,290,113,63
13,850,76,29,285,113,63
13,900,71,28,288,113,63
13,950,75,27,290,113,63
13,1000,70,27,290,113,63
14,0,100,50,300,113,63
14,50,101,51,278,101,51
14,100,109,52,265,112,52
14,150,109,57,253,112,57
14,200,112,56,247,115,58
14,250,107,45,238,115,58
14,300,102,49,230,115,58
14,350,99,56,220,115,58
14,400,88,60,227,115,60
14,450,77,62,242,115,62
14,500,64,66,255,115,67
14,550,62,66,272,115,68
14,600,63,64,285,115,68
14,650,58,59,290,115,68
14,700,57,58,290,115,68
14,750,61,48,290,115,68
14,800,60,46,289,115,68
14,850,69,42,290,115,68
14,900,78,41,277,115,68
14,950,79,37,283,115,68
14,1000,81,37,285,115,68
15,0,100,50,300,115,68
15,50,102,50,278,103,50
15,100,107,55,259,114,55
15,150,100,68,248,114,68
15,200,97,71,243,114,72
15,250,88,62,243,114,72
15,300,80,65,254,114,72
15,350,76,67,258,114,72
15,400,74,62,265,114,72
15,450,69,60,274,114,72
15,500,66,59,284,114,72
15,550,60,59,290,114,72
15,600,61,58,289,114,72
15,650,50,50,290,114,72
15,700,50,49,290,114,72
15,750,57,44,290,114,72
15,800,58,42,290,114,72
15,850,67,30,290,114,72
15,900,71,25,290,114,72
15,950,76,19,290,114,72
15,1000,80,18,289,114,72
16,0,100,50,300,114,72
16,50,98,50,271,100,50
16,100,105,59,246,106,59
16,150,101,69,230,112,69
16,200,80,80,226,112,80
16,250,61,77,242,112,84
16,300,59,84,255,112,84
16,350,60,77,267,112,84
16,400,59,71,279,112,84
16,450,49,62,290,112,84
16,500,46,61,289,112,84
16,550,46,58,288,112,84
16,600,46,54,290,112,84
16,650,44,39,290,112,84
16,700,47,35,290,112,84
16,750,41,34,290,112,84
16,800,41,27,290,112,84
16,850,38,22,290,112,84
16,900,41,21,288,112,84
16,950,40,19,290,112,84
16,1000,41,18,290,112,84
17,0,100,50,300,112,84
17,50,99,51,274,100,51
17,100,105,57,259,109,57
17,150,100,60,254,109,60
17,200,98,68,247,109,68
17,250,100,58,235,109,68
17,300,89,62,241,109,68
17,350,76,64,253,109,68
17,400,67,64,265,109,68
