generation,tick,preys_alive,predators_alive,food_alive,max_preys_this_gen,max_predators_this_gen,BestPreyFit,BestPredFit
0,0,100,50,250,100,50
0,50,97,50,250,100,50,40,10
0,100,88,54,250,100,54,60,30
0,150,78,60,250,100,60,70,50
0,200,69,64,250,100,64,90,90
0,250,59,67,250,100,67,90,120
0,300,45,61,250,100,67,100,120
0,350,43,56,250,100,67,120,120
0,400,40,52,250,100,67,130,120
0,450,37,48,250,100,67,160,120
0,500,33,38,250,100,67,160,120
0,550,32,31,250,100,67,160,120
0,600,27,26,250,100,67,160,120
0,650,23,26,250,100,67,160,120
0,700,22,23,250,100,67,160,120
0,750,20,20,250,100,67,150,120
0,800,19,17,250,100,67,150,110
0,850,25,16,250,100,67,180,110
0,900,30,15,250,100,67,200,110
0,950,35,14,250,100,67,210,110
0,1000,37,12,250,100,67,230,110
0,1050,39,10,250,100,67,230,110
0,1100,39,7,250,100,67,240,110
0,1150,41,7,250,100,67,270,120
0,1200,43,6,250,100,67,290,120
0,1250,47,7,250,100,67,300,120
0,1300,46,7,250,100,67,300,130
0,1350,49,6,250,100,67,310,130
0,1400,54,6,250,100,67,310,130
0,1450,67,5,250,100,67,340,130
0,1500,74,5,250,100,67,370,140
0,1550,88,4,250,100,67,400,140
0,1600,103,4,250,103,67,430,160
0,1650,119,4,250,119,67,440,160
0,1700,134,4,250,134,67,450,160
0,1750,150,4,250,150,67,480,160
0,1800,150,4,250,150,67,490,170
0,1850,150,5,250,150,67,510,190
0,1900,150,5,250,150,67,540,190
0,1950,150,5,250,150,67,550,200
0,2000,149,6,250,150,67,580,200
0,2050,150,6,250,150,67,610,200
0,2100,148,9,250,150,67,600,240
0,2150,150,12,250,150,67,600,260
0,2200,150,13,250,150,67,600,260
0,2250,149,16,250,150,67,600,270
0,2300,150,22,250,150,67,610,280
0,2350,149,25,250,150,67,610,300
0,2400,148,32,250,150,67,620,300
0,2450,150,39,250,150,67,640,310
0,2500,150,47,250,150,67,660,330
0,2550,150,53,250,150,67,670,350
0,2600,150,58,250,150,67,700,370
0,2650,150,61,250,150,67,690,370
0,2700,147,62,250,150,67,680,370
0,2750,149,56,250,150,67,680,370
0,2800,144,56,250,150,67,680,400
0,2850,144,56,250,150,67,700,400
0,2900,136,59,250,150,67,730,420
0,2950,133,59,250,150,67,740,420
0,3000,123,55,250,150,67,770,430
1,0,100,50,250,100,50
1,0,100,50,250,100,50
1,50,94,52,250,100,52,40,30
1,100,90,57,250,100,57,60,40
1,150,83,64,250,100,64,70,50
1,200,73,71,250,100,71,70,60
1,250,64,77,250,100,77,70,80
1,300,58,78,250,100,78,100,80
1,350,59,74,250,100,78,120,90
1,400,57,71,250,100,78,130,110
1,450,54,69,250,100,78,150,110
1,500,49,71,250,100,78,160,110
1,550,52,65,250,100,78,190,110
1,600,39,57,250,100,78,190,120
1,650,40,55,250,100,78,190,120
1,700,35,54,250,100,78,240,120
1,750,31,50,250,100,78,250,140
1,800,31,47,250,100,78,280,140
1,850,34,46,250,100,78,300,140
1,900,35,42,250,100,78,310,140
1,950,26,36,250,100,78,340,140
1,1000,30,35,250,100,78,370,140
1,1050,36,31,250,100,78,400,140
1,1100,42,28,250,100,78,400,140
1,1150,41,26,250,100,78,400,140
1,1200,39,23,250,100,78,400,150
1,1250,43,21,250,100,78,400,150
1,1300,46,17,250,100,78,430,160
1,1350,45,19,250,100,78,460,180
1,1400,48,18,250,100,78,490,180
1,1450,52,18,250,100,78,510,200
1,1500,48,18,250,100,78,550,200
1,1550,52,16,250,100,78,580,210
1,1600,59,16,250,100,78,600,210
1,1650,62,17,250,100,78,610,220
1,1700,57,21,250,100,78,580,260
1,1750,56,23,250,100,78,600,270
1,1800,60,28,250,100,78,610,290
1,1850,68,29,250,100,78,610,300
1,1900,77,29,250,100,78,630,300
1,1950,93,30,250,100,78,660,300
1,2000,110,35,250,110,78,700,320
1,2050,136,40,250,136,78,730,340
1,2100,150,42,250,150,78,730,350
1,2150,150,44,250,150,78,760,360
1,2200,150,51,250,150,78,790,360
1,2250,149,57,250,150,78,790,390
1,2300,136,65,250,150,78,790,400
1,2350,141,73,250,150,78,810,420
1,2400,142,75,250,150,78,810,440
1,2450,130,86,250,150,86,810,460
1,2500,114,95,250,150,95,820,470
1,2550,103,99,250,150,100,850,500
1,2600,87,99,250,150,100,850,520
1,2650,78,98,250,150,100,880,530
1,2700,67,99,250,150,100,900,530
1,2750,54,99,250,150,100,910,530
1,2800,51,91,250,150,100,930,530
1,2850,42,91,250,150,100,940,530
1,2900,41,86,250,150,100,970,530
1,2950,41,89,250,150,100,1000,560
1,3000,35,90,250,150,100,1030,560
2,0,100,50,250,100,50
2,0,100,50,250,100,50
2,50,94,54,250,100,54,40,60
2,100,93,67,250,104,67,60,90
2,150,88,77,250,104,77,90,110
2,200,81,90,250,104,90,100,130
2,250,68,100,250,104,100,120,130
2,300,63,100,250,104,100,130,130
2,350,53,100,250,104,100,180,130
2,400,45,100,250,104,100,210,140
2,450,38,100,250,104,100,220,140
2,500,24,96,250,104,100,250,160
2,550,22,96,250,104,100,270,160
2,600,21,93,250,104,100,270,160
2,650,18,83,250,104,100,280,160
2,700,17,78,250,104,100,220,160
2,750,18,70,250,104,100,250,160
2,800,23,61,250,104,100,300,160
2,850,24,50,250,104,100,310,160
2,900,24,46,250,104,100,340,160
2,950,24,41,250,104,100,340,160
2,1000,30,37,250,104,100,390,160
2,1050,37,35,250,104,100,400,160
2,1100,46,36,250,104,100,420,160
2,1150,51,31,250,104,100,430,160
2,1200,52,32,250,104,100,450,160
2,1250,62,28,250,104,100,480,160
2,1300,69,28,250,104,100,490,160
2,1350,73,25,250,104,100,520,170
2,1400,79,26,250,104,100,550,180
2,1450,87,27,250,104,100,580,180
2,1500,96,28,250,104,100,610,200
2,1550,100,30,250,104,100,640,220
2,1600,109,31,250,109,100,640,220
2,1650,119,37,250,119,100,640,230
2,1700,133,42,250,136,100,660,240
2,1750,148,47,250,150,100,670,250
2,1800,148,52,250,150,100,700,260
2,1850,149,57,250,150,100,730,270
2,1900,145,69,250,150,100,760,310
2,1950,147,88,250,150,100,780,340
2,2000,146,95,250,150,100,810,340
2,2050,144,100,250,150,100,820,340
2,2100,145,100,250,150,100,850,340
2,2150,134,100,250,150,100,850,360
2,2200,121,100,250,150,100,850,390
2,2250,120,100,250,150,100,880,400
2,2300,103,100,250,150,100,900,400
2,2350,90,100,250,150,100,930,400
2,2400,81,100,250,150,100,940,400
2,2450,87,100,250,150,100,970,400
2,2500,82,100,250,150,100,970,430
2,2550,84,98,250,150,100,1000,440
2,2600,80,97,250,150,100,1030,440
2,2650,79,97,250,150,100,1050,440
2,2700,68,99,250,150,100,1060,450
2,2750,60,95,250,150,100,1090,470
2,2800,55,98,250,150,100,1120,490
2,2850,51,100,250,150,100,1120,490
2,2900,53,100,250,150,100,1140,520
2,2950,52,98,250,150,100,1180,530
2,3000,44,94,250,150,100,1120,530
3,0,100,50,250,100,50
3,0,100,50,250,100,50
3,50,92,53,250,100,53,40,30
3,100,88,66,250,100,66,60,60
3,150,94,79,250,101,79,70,70
3,200,98,88,250,103,88,100,80
3,250,92,100,250,103,100,130,100
3,300,90,100,250,103,100,150,130
3,350,80,100,250,103,100,180,150
3,400,74,100,250,103,100,180,180
3,450,66,100,250,103,100,190,210
3,500,53,100,250,103,100,220,220
3,550,36,98,250,103,100,210,220
3,600,34,98,250,103,100,220,230
3,650,30,95,250,103,100,270,230
3,700,23,97,250,103,100,250,230
3,750,17,100,250,103,100,190,230
3,800,12,96,250,103,100,200,230
3,850,10,93,250,103,100,220,230
3,900,7,83,250,103,100,230,230
3,950,6,72,250,103,100,250,230
3,1000,5,66,250,103,100,270,230
3,1050,6,56,250,103,100,310,230
3,1100,8,47,250,103,100,340,230
3,1150,8,40,250,103,100,340,230
3,1200,8,32,250,103,100,340,230
3,1250,8,28,250,103,100,370,230
3,1300,8,26,250,103,100,390,230
3,1350,11,20,250,103,100,430,200
3,1400,15,17,250,103,100,450,200
3,1450,17,15,250,103,100,460,200
3,1500,16,12,250,103,100,460,200
3,1550,18,12,250,103,100,490,200
3,1600,26,11,250,103,100,510,200
3,1650,37,11,250,103,100,520,200
3,1700,46,11,250,103,100,550,200
3,1750,61,11,250,103,100,580,200
3,1800,73,11,250,103,100,580,200
3,1850,84,12,250,103,100,600,220
3,1900,98,9,250,103,100,610,220
3,1950,109,8,250,109,100,640,230
3,2000,123,8,250,123,100,670,230
3,2050,132,10,250,135,100,700,250
3,2100,149,12,250,149,100,730,300
3,2150,149,18,250,150,100,750,330
3,2200,150,20,250,150,100,760,330
3,2250,149,26,250,150,100,790,360
3,2300,150,31,250,150,100,820,380
